Start Training ...
Epoch 0 , error 0.048113, seconds 218.88
Epoch 1 , error 0.031131, seconds 441.12
Epoch 2 , error 0.028424, seconds 660.91
Epoch 3 , error 0.026483, seconds 881.86
Epoch 4 , error 0.025248, seconds 1113.25
Epoch 5 , error 0.024420, seconds 1334.26
Epoch 6 , error 0.023612, seconds 1555.05
Epoch 7 , error 0.022828, seconds 1774.53
Epoch 8 , error 0.022004, seconds 1992.47
Epoch 9 , error 0.021532, seconds 2212.35
Epoch 10 , error 0.020967, seconds 2431.90
Epoch 11 , error 0.020581, seconds 2651.56
Epoch 12 , error 0.020262, seconds 2871.02
Epoch 13 , error 0.019998, seconds 3091.65
Epoch 14 , error 0.019759, seconds 3308.77
Epoch 15 , error 0.019524, seconds 3527.16
Epoch 16 , error 0.019351, seconds 3745.85
Epoch 17 , error 0.019147, seconds 3966.24
Epoch 18 , error 0.018977, seconds 4184.36
Epoch 19 , error 0.018792, seconds 4404.20
Epoch 20 , error 0.018571, seconds 4621.13
Epoch 21 , error 0.018418, seconds 4838.76
Epoch 22 , error 0.018312, seconds 5058.44
Epoch 23 , error 0.018140, seconds 5276.94
Epoch 24 , error 0.018037, seconds 5493.79
Epoch 25 , error 0.017823, seconds 5711.05
Training Completed.
Start Training ...
Epoch 0 , error 0.051573, seconds 228.46
Epoch 1 , error 0.032843, seconds 454.42
Epoch 2 , error 0.028936, seconds 679.89
Epoch 3 , error 0.026370, seconds 906.19
Epoch 4 , error 0.024499, seconds 1130.58
Epoch 5 , error 0.023296, seconds 1356.45
Epoch 6 , error 0.022390, seconds 1582.60
Epoch 7 , error 0.021620, seconds 1808.30
Epoch 8 , error 0.021080, seconds 2035.19
Epoch 9 , error 0.020602, seconds 2262.14
Epoch 10 , error 0.020333, seconds 2488.00
Epoch 11 , error 0.019857, seconds 2715.09
Epoch 12 , error 0.019688, seconds 2940.49
Epoch 13 , error 0.019310, seconds 3167.11
Epoch 14 , error 0.019088, seconds 3395.19
Epoch 15 , error 0.018868, seconds 3623.28
Epoch 16 , error 0.018665, seconds 3848.85
Epoch 17 , error 0.018406, seconds 4075.68
Epoch 18 , error 0.018317, seconds 4302.23
Epoch 19 , error 0.018138, seconds 4528.92
Epoch 20 , error 0.017996, seconds 4755.36
Epoch 21 , error 0.017850, seconds 4981.86
Epoch 22 , error 0.017695, seconds 5207.51
Epoch 23 , error 0.017553, seconds 5434.15
Epoch 24 , error 0.017445, seconds 5660.49
Epoch 25 , error 0.017319, seconds 5885.86
Training Completed.
Start Training ...
Epoch 0 , error 0.048025, seconds 232.83
Epoch 1 , error 0.030772, seconds 467.94
Epoch 2 , error 0.027345, seconds 703.90
Epoch 3 , error 0.025103, seconds 938.95
Epoch 4 , error 0.023423, seconds 1174.97
Epoch 5 , error 0.022045, seconds 1409.97
Epoch 6 , error 0.021237, seconds 1645.09
Epoch 7 , error 0.020794, seconds 1882.68
Epoch 8 , error 0.020229, seconds 2119.23
Epoch 9 , error 0.019965, seconds 2354.44
Epoch 10 , error 0.019566, seconds 2591.37
Epoch 11 , error 0.019241, seconds 2826.42
Epoch 12 , error 0.019225, seconds 3064.39
Epoch 13 , error 0.018766, seconds 3300.85
Epoch 14 , error 0.018496, seconds 3538.94
Epoch 15 , error 0.018150, seconds 3776.58
Epoch 16 , error 0.017906, seconds 4012.46
Epoch 17 , error 0.017705, seconds 4249.58
Epoch 18 , error 0.017566, seconds 4484.30
Epoch 19 , error 0.017479, seconds 4720.88
Epoch 20 , error 0.017338, seconds 4956.71
Training Completed.
Start Training ...
Epoch 0 , error 0.042855, seconds 218.25
Epoch 1 , error 0.026481, seconds 438.65
Epoch 2 , error 0.023466, seconds 658.65
Epoch 3 , error 0.021371, seconds 879.71
Epoch 4 , error 0.020292, seconds 1102.26
Epoch 5 , error 0.019382, seconds 1323.22
Epoch 6 , error 0.018730, seconds 1543.63
Epoch 7 , error 0.018221, seconds 1765.89
Epoch 8 , error 0.017830, seconds 1984.75
Epoch 9 , error 0.017299, seconds 2205.29
Epoch 10 , error 0.017022, seconds 2424.88
Epoch 11 , error 0.016785, seconds 2645.69
Epoch 12 , error 0.016470, seconds 2866.80
Epoch 13 , error 0.016208, seconds 3086.65
Epoch 14 , error 0.016043, seconds 3307.24
Epoch 15 , error 0.015790, seconds 3527.49
Epoch 16 , error 0.015656, seconds 3751.69
Epoch 17 , error 0.015505, seconds 3971.92
Epoch 18 , error 0.015288, seconds 4192.37
Epoch 19 , error 0.015264, seconds 4412.50
Epoch 20 , error 0.015103, seconds 4633.93
Epoch 21 , error 0.014961, seconds 4854.78
Epoch 22 , error 0.014915, seconds 5075.92
Epoch 23 , error 0.014720, seconds 5297.60
Epoch 24 , error 0.014703, seconds 5519.96
Epoch 25 , error 0.014519, seconds 5741.50
Training Completed.
Start Training ...
Epoch 0 , error 0.040804, seconds 232.64
Epoch 1 , error 0.026693, seconds 460.85
Epoch 2 , error 0.023541, seconds 690.05
Epoch 3 , error 0.021642, seconds 918.41
Epoch 4 , error 0.020459, seconds 1145.00
Epoch 5 , error 0.019498, seconds 1373.12
Epoch 6 , error 0.018855, seconds 1602.75
Epoch 7 , error 0.018266, seconds 1831.60
Epoch 8 , error 0.017900, seconds 2060.61
Epoch 9 , error 0.017480, seconds 2289.64
Epoch 10 , error 0.017187, seconds 2516.92
Epoch 11 , error 0.016871, seconds 2744.00
Epoch 12 , error 0.016656, seconds 2972.16
Epoch 13 , error 0.016429, seconds 3201.67
Epoch 14 , error 0.016287, seconds 3431.93
Epoch 15 , error 0.016119, seconds 3661.38
Epoch 16 , error 0.015885, seconds 3887.55
Epoch 17 , error 0.015744, seconds 4114.59
Epoch 18 , error 0.015594, seconds 4344.54
Epoch 19 , error 0.015481, seconds 4571.37
Epoch 20 , error 0.015377, seconds 4798.50
Epoch 21 , error 0.015501, seconds 5026.67
Epoch 22 , error 0.015160, seconds 5253.32
Epoch 23 , error 0.015161, seconds 5481.00
Epoch 24 , error 0.015070, seconds 5709.56
Epoch 25 , error 0.014869, seconds 5936.79
Training Completed.
Start Training ...
Epoch 0 , error 0.042488, seconds 240.82
Epoch 1 , error 0.026382, seconds 479.94
Epoch 2 , error 0.023344, seconds 716.71
Epoch 3 , error 0.021554, seconds 955.13
Epoch 4 , error 0.020520, seconds 1192.76
Epoch 5 , error 0.019754, seconds 1431.61
Epoch 6 , error 0.019075, seconds 1664.91
Epoch 7 , error 0.018549, seconds 1901.35
Epoch 8 , error 0.018008, seconds 2138.00
Epoch 9 , error 0.017701, seconds 2373.65
Epoch 10 , error 0.017343, seconds 2610.30
Epoch 11 , error 0.018879, seconds 2844.20
Epoch 12 , error 0.016879, seconds 3079.80
Epoch 13 , error 0.016559, seconds 3320.19
Epoch 14 , error 0.016250, seconds 3560.05
Epoch 15 , error 0.016099, seconds 3798.30
Epoch 16 , error 0.015794, seconds 4035.34
Epoch 17 , error 0.025697, seconds 4273.67
Epoch 18 , error 0.017749, seconds 4511.40
Epoch 19 , error 0.016685, seconds 4751.06
Epoch 20 , error 0.016172, seconds 4988.97
Training Completed.
Start Training ...
Epoch 0 , error 0.037056, seconds 218.86
Epoch 1 , error 0.022774, seconds 437.91
Epoch 2 , error 0.020264, seconds 658.86
Epoch 3 , error 0.018893, seconds 881.03
Epoch 4 , error 0.017879, seconds 1101.00
Epoch 5 , error 0.017169, seconds 1321.53
Epoch 6 , error 0.016671, seconds 1541.83
Epoch 7 , error 0.016251, seconds 1762.96
Epoch 8 , error 0.015929, seconds 1982.64
Epoch 9 , error 0.015608, seconds 2199.16
Epoch 10 , error 0.015312, seconds 2438.90
Epoch 11 , error 0.015165, seconds 2666.09
Epoch 12 , error 0.014991, seconds 2888.70
Epoch 13 , error 0.014828, seconds 3112.33
Epoch 14 , error 0.014648, seconds 3335.30
Epoch 15 , error 0.014456, seconds 3557.72
Epoch 16 , error 0.014320, seconds 3781.53
Epoch 17 , error 0.014229, seconds 4004.01
Epoch 18 , error 0.014095, seconds 4223.40
Epoch 19 , error 0.014527, seconds 4447.39
Epoch 20 , error 0.014092, seconds 4671.74
Epoch 21 , error 0.013745, seconds 4892.72
Epoch 22 , error 0.013814, seconds 5116.18
Epoch 23 , error 0.013648, seconds 5338.86
Epoch 24 , error 0.013485, seconds 5564.27
Epoch 25 , error 0.013351, seconds 5783.39
Training Completed.
Start Training ...
Epoch 0 , error 0.036216, seconds 228.42
Epoch 1 , error 0.023060, seconds 458.40
Epoch 2 , error 0.020409, seconds 689.31
Epoch 3 , error 0.019018, seconds 920.86
Epoch 4 , error 0.018095, seconds 1151.57
Epoch 5 , error 0.017596, seconds 1381.29
Epoch 6 , error 0.016909, seconds 1611.01
Epoch 7 , error 0.016594, seconds 1842.70
Epoch 8 , error 0.016160, seconds 2071.88
